Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.091959,0.026985,-0.17169,0,0,0,0.092187,0.00010245,1.4538E-09,1.8672E-06,0.0001058,-2.8355E-11,0.00019857,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/base_link.STL,,roll 2.STEP-1;G.STEP-3;qqqqqqqq.STEP-1;nail.STEP-4;nail.STEP-1;servo.STEP-1;roll.STEP-1;nail.STEP-3;nail.STEP-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.00154241341781598,0.0100013350004457,0.00024229829884681,0,0,0,0.036067227742246,6.63657864876778E-06,8.80269449010779E-11,-2.54280343091645E-08,1.00325657295449E-05,5.58302487667919E-11,5.76334895905913E-06,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_1.STL,,SHORT SIDE.STEP-1;servo motor.STEP-3,Origin_joint_12,,joint_1,revolute,0.10523,0.12001,0.040127,-1.5645,0,-1.5513,base_link,0,0,1,17,6,-1.57,1.57,,,,,,,,
link_2,0.0804914911932472,0.00999939035036593,-0.00069999999999977,0,0,0,0.0495461612560023,1.24162296730713E-05,1.27054942088145E-20,-9.70779166892233E-20,4.03832372625596E-05,-1.00585162486448E-21,3.13050058803983E-05,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_2.STL,,BIG SIDE.STEP-1;15.STEP-1;BIG SIDE.STEP-2,Origin_joint_22,,joint_2,revolute,-0.0035304,0.0068889,5E-05,0,0,-0.52728,link_1,1,0,0,17,6,-1.57,1.57,,,,,,,,
link_3,0.00653161285211037,-0.0199332386166537,4.30811515975127E-08,0,0,0,0.0705058258846531,2.06638121586508E-05,-2.67090290954804E-09,5.58198148244558E-11,1.38633050563832E-05,4.44011945952539E-11,2.98455783729426E-05,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/link_3.STL,,13.STEP-1;servo motor.STEP-2;BIG SIDE.STEP-3,Origin_joint_32,,joint_3,revolute,0.14167,0.034057,0.0066836,2.8085,1.5708,0,link_2,1,0,0,17,6,-1.57,1.57,,,,,,,,
Link_4,-0.0193434356658074,0.0100008107329039,0.000147236350600766,0,0,0,0.0593537751629533,1.05306142744019E-05,8.81772828823235E-11,-2.54284235351203E-08,1.59572296823589E-05,5.56917440389303E-11,9.24516004368596E-06,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/Link_4.STL,,SHORT SIDE.STEP-2;servo motor.STEP-1;6.2.STEP-1;g6.STEP-1,Origin_joint_42,,joint_4,revolute,0.0058687,-0.10605,0.014804,-1.5708,0.73124,1.5708,link_3,1,0,0,17,6,-1.57,1.57,,,,,,,,
grab,0.030736,0.046969,0.0036819,0,0,0,0.021709,5.0488E-06,6.4622E-08,-2.0046E-12,2.0398E-06,4.7424E-12,7.0141E-06,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/grab.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robotic arm mine.STEP.SLDASM/meshes/grab.STL,,g 1.STEP-1;g 2.STEP-2;g 2.STEP-1;g5.STEP-3;g 3.STEP-5;g 3.STEP-1;g 3.STEP-2;g5.STEP-4;g 3.STEP-3;g5.STEP-2;g 3.STEP-6;g5.STEP-1;g 3.STEP-4,Origin_joint_52,,joint_5,prismatic,-0.071065,0.007,0.030039,-1.5838,1.5708,-0.013243,Link_4,0,0,1,17,1,0,1.57,,,,,,,,
